Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-63.77008,1.43825,201.222,-34.55582,-0.1687217,-46.02987,359.8636,222.4524,0.5226839,24.81419,100,48.76759,43.80664,75.28078,69.58103,14.19261,12.54967,7,1,-1
-64.46567,1.430644,200.323,-33.99931,-0.3751006,-45.22398,0.1913424,222.0986,359.7467,24.14422,100,49.10796,44.40475,76.90723,60.48067,13.54622,12.06458,7,1,-1
-65.14956,1.410112,199.441,-33.45402,-1.010155,-44.43521,0.4283177,221.5382,358.9496,23.64234,100,49.36264,45.04533,78.90887,52.47313,12.89069,11.60522,7,1,-1
-65.82048,1.378199,198.5782,-32.79794,-1.566511,-43.53498,0.6028785,220.7671,358.0998,23.31461,100,49.53506,45.7356,81.34058,45.45491,12.23161,11.16741,7,1,-1
-66.47549,1.352733,197.725,-32.4054,-1.254498,-42.91477,0.5902504,219.742,357.6473,23.22099,100,49.5892,46.47702,84.3631,39.21169,11.5801,10.75586,7,1,-1
-67.11266,1.350668,196.8716,-32.15795,-0.1199854,-42.43391,0.5332972,218.5644,358.0154,23.30966,100,49.55057,47.24138,87.83967,33.94451,10.95264,10.36642,7,1,-1
-67.73679,1.369242,196.0235,-31.89082,0.9006011,-41.98099,0.4006937,217.263,358.8081,23.56859,100,49.46831,48.0507,91.79803,29.54342,10.3434,9.996317,7,1,-1
-68.35305,1.387286,195.1884,-31.47424,0.8857942,-41.42138,0.2448231,215.8092,359.5319,24.0474,100,49.36889,48.94482,96.39881,25.78258,9.749212,9.655407,7,1,-1
-68.96458,1.393299,194.3706,-30.94274,0.2955697,-40.73978,0.13693,214.2766,359.906,24.63094,100,49.28764,49.91833,100,22.60277,9.182829,9.321281,7,1,-1
-69.56834,1.387595,193.572,-30.31538,-0.2865648,-39.93078,0.05503912,212.73,-0.0006979503,25.31071,100,49.2382,50.95052,100,19.97209,8.646325,8.990703,7,1,-1
-70.16367,1.370446,192.7914,-29.69618,-0.8570734,-39.14046,359.9884,211.1725,359.8679,26.15325,100,49.219,52.04301,100,17.72229,8.130658,8.663554,7,1,-1
-70.75732,1.351712,192.0143,-29.46029,-0.9340236,-38.96538,359.9892,209.6027,359.6031,27.17071,100,49.23357,53.20672,100,15.77736,7.630824,8.335687,7,1,-1
-71.34634,1.353194,191.2381,-29.21318,0.07809612,-38.8027,0.08942211,208.024,359.3821,28.37313,100,49.27935,54.44246,100,14.08213,7.151587,8.01545,7,1,-1
-71.9279,1.368701,190.4633,-28.94856,0.778016,-38.65796,0.1946733,206.44,359.2862,29.91084,98.86026,49.3531,55.73828,100,12.60526,6.704874,7.707421,7,1,-1
-72.5006,1.382492,189.6943,-28.57506,0.6910507,-38.37549,0.2594178,204.8064,359.2455,31.9067,94.12007,49.4481,57.13179,100,11.26922,6.275215,7.407264,7,1,-1
-73.06538,1.387916,188.9359,-28.10591,0.2742418,-37.95016,0.2548167,203.0833,359.0897,34.74862,89.80328,49.56724,58.66953,100,10.09036,5.859523,7.115905,7,1,0
-73.61667,1.385173,188.1889,-27.55383,-0.1369845,-37.37943,0.2002535,201.6579,359.052,37.30661,86.83578,49.74866,60.09949,100,9.10137,5.467857,6.803724,7,1,0
-74.15548,1.376428,187.449,-27.06561,-0.4401602,-36.98746,0.1319367,200.4224,359.1591,39.8721,84.60929,49.96344,61.45927,100,8.236405,5.095316,6.479595,7,1,0
-74.68055,1.365781,186.7151,-26.57258,-0.5384184,-36.60733,0.08614487,199.3399,359.4838,42.24744,82.88925,50.19731,62.74777,100,7.494568,4.75214,6.148793,7,1,0
-75.19471,1.357604,185.9807,-26.19268,-0.4141506,-36.57087,0.06513439,198.4745,359.9929,44.1445,81.76477,50.45092,63.89757,100,6.840502,4.424053,5.811788,7,1,0
-75.70399,1.361344,185.2467,-25.80226,0.1864574,-36.54021,0.1065765,197.78,0.3621562,45.25832,81.05026,50.72171,64.94231,100,6.240437,4.103408,5.46387,7,1,0
-76.2103,1.370604,184.515,-25.40656,0.4635843,-36.51344,0.1532501,197.2202,0.4688985,45.76163,80.63193,51.00188,65.89568,100,5.676894,3.786703,5.101185,7,1,0
-76.71117,1.376531,183.7886,-24.95852,0.2964577,-36.31969,0.1777403,196.8167,0.3813906,45.35307,80.52533,51.28633,66.72369,100,5.166107,3.475026,4.725562,7,1,0
-77.20451,1.374891,183.0668,-24.51374,-0.08189259,-36.13031,0.1810741,196.5393,0.2160727,44.11216,80.6551,51.57021,67.44128,100,4.689049,3.170218,4.344598,7,1,0
-77.68924,1.367394,182.3497,-24.07155,-0.374597,-35.94637,0.1419598,196.3631,0.02817023,42.17205,80.98257,51.85088,68.0635,100,4.235934,2.88114,3.963533,7,1,0
-78.16567,1.36126,181.6328,-23.68466,-0.3061397,-35.9367,0.08948333,196.2202,359.8668,39.98932,81.36384,52.12528,68.64859,100,3.800034,2.602777,3.589306,7,1,0
-78.63271,1.363047,180.9146,-23.30405,0.0897298,-35.92731,0.08225446,196.1052,359.8128,37.53433,81.78175,52.39114,69.19816,100,3.382083,2.333895,3.224828,7,1,0
-79.09053,1.369293,180.1956,-22.9286,0.3121288,-35.91821,0.1037071,196.0128,359.8585,34.81302,82.22631,52.64822,69.71611,100,2.999024,2.074206,2.870529,7,1,0
-79.53996,1.372827,179.4766,-22.55822,0.1761335,-35.90946,0.118815,195.9385,359.9542,31.97886,82.69071,52.89761,70.20681,100,2.631827,1.822657,2.525614,7,1,0
-79.98214,1.37072,178.7581,-22.19495,-0.1058805,-35.90062,0.1150233,195.8781,0.04330783,28.9868,83.17596,53.1406,70.67027,100,2.276096,1.577996,2.188855,7,1,0
-80.41801,1.36627,178.0402,-21.83986,-0.2227782,-35.89189,0.1066378,195.8282,0.08926313,25.67023,83.68867,53.3779,71.11624,100,1.930126,1.339326,1.859381,7,1,0
-80.67179,1.348012,177.3465,-13.06489,-0.7274875,-34.84079,359.8534,192.4451,0.4067674,53.84828,77.78624,53.48374,74.919,100,1.728316,1.271482,1.873857,7,1,0
-80.7895,1.344401,176.6629,-8.691563,-0.02684602,-34.32299,359.8589,192.0497,1.012526,58.35162,77.20684,53.44623,75.40388,100,1.799203,1.332435,1.977952,7,1,0
-80.91244,1.364259,175.9816,-8.624953,1.186209,-34.33056,359.8319,194.2547,1.125577,35.12068,81.06816,53.3341,72.95214,100,1.942643,1.385742,1.972026,7,1,0
-81.06393,1.395069,175.3024,-8.231633,1.368253,-34.11753,359.8279,194.3318,0.94311,34.09478,81.33681,53.30343,72.91032,100,1.982333,1.412168,1.984894,7,1,0
-81.22617,1.411246,174.6304,-8.085313,0.7691485,-33.59874,359.9064,194.2447,0.7421311,34.18284,81.31465,53.29818,73.06239,100,1.999312,1.422997,1.986387,7,1,0
-81.38291,1.416294,173.9728,-7.847266,0.2084081,-32.91299,359.9204,194.1332,0.6336807,34.50867,81.24349,53.29467,73.23979,100,2.017803,1.423978,1.991582,7,1,0
-81.53876,1.408941,173.3274,-7.696671,-0.3719277,-32.25313,359.9637,194.1115,0.532771,34.10285,81.34241,53.29444,73.3212,100,2.034348,1.422992,1.990948,7,1,0
-81.69153,1.390127,172.695,-7.548858,-0.9406705,-31.60653,0.001468497,194.1012,0.4481682,33.61401,81.46045,53.29465,73.3894,100,2.032552,1.421992,1.989903,7,1,0
-81.84104,1.360164,172.0753,-7.40386,-1.498049,-30.9729,0.03166342,194.093,0.3804812,33.12105,81.5795,53.2949,73.45432,100,2.031114,1.421195,1.98907,7,1,0
-81.99449,1.339837,171.4533,-7.432165,-1.01505,-31.03722,0.1485839,194.083,0.1578377,32.5918,81.7005,53.29792,73.52506,100,2.024868,1.417072,1.983642,7,1,0
-82.1428,1.352346,170.8309,-7.317365,0.6217611,-31.08166,0.2153039,193.9475,0.05704132,33.11238,81.57831,53.29558,73.72904,100,2.021436,1.418053,1.989675,7,1,0
-82.29092,1.377076,170.2081,-7.330727,1.236256,-31.14386,0.2297437,193.828,359.9781,33.50904,81.49349,53.2935,73.91608,100,2.019011,1.419327,1.99559,7,1,0
-82.43634,1.391819,169.5913,-7.255646,0.7390032,-30.85942,0.2197438,193.7149,359.9534,33.75963,81.42165,53.29047,74.09484,100,2.018585,1.421846,1.995714,7,1,0
-82.57861,1.394695,168.9867,-7.104163,0.1440046,-30.23947,0.2122927,193.6183,359.94,33.91347,81.37843,53.28841,74.25448,100,2.019037,1.424572,1.991767,7,1,0
-82.71773,1.385915,168.3941,-6.95549,-0.4389,-29.63213,0.2074696,193.533,359.9376,34.00305,81.35356,53.29204,74.39807,100,2.020256,1.424597,1.988012,7,1,0
-82.85516,1.365494,167.8098,-6.860405,-1.020856,-29.21028,0.2171968,193.417,359.9271,34.3438,81.26986,53.29564,74.57317,100,2.020012,1.419636,1.985057,7,1,0
-82.99168,1.347747,167.2251,-6.890481,-0.8886696,-29.31425,0.1219285,193.3235,359.9711,34.53087,81.2274,53.29865,74.72125,100,2.021755,1.415645,1.982674,7,1,0
-83.12897,1.353577,166.6369,-6.917962,0.2910291,-29.41773,0.1003742,193.2475,0.02079439,34.57623,81.21887,53.30198,74.84946,100,2.013382,1.411669,1.979704,7,1,0
-83.26731,1.372204,166.046,-6.941971,0.9314249,-29.51824,0.1202091,193.1854,0.05102463,34.49771,81.23753,53.3059,74.96238,100,2.004949,1.407293,1.975692,7,1,0
-83.40658,1.382533,165.4538,-6.964462,0.5163703,-29.61518,0.1142875,193.1341,0.05063603,34.31444,81.27759,53.31055,75.06369,100,1.996037,1.402302,1.970437,7,1,0
-83.53921,1.380722,164.8705,-6.668172,-0.08955906,-29.16093,0.1190844,192.9647,0.07032141,35.08341,81.08962,53.31024,75.30019,100,1.989425,1.401817,1.97556,7,1,0
-83.67097,1.368399,164.2921,-6.587714,-0.615939,-28.91657,0.1206106,192.8143,0.0653225,35.67634,80.9381,53.31066,75.5155,100,1.983156,1.401078,1.979695,7,1,0
-83.80326,1.357301,163.712,-6.58864,-0.5548632,-29.02282,0.1068669,192.6729,0.03368987,36.23261,80.80483,53.31155,75.72181,100,1.977063,1.400225,1.981407,7,1,0
-83.93555,1.359158,163.1293,-6.589857,0.0930292,-29.12902,0.1191185,192.5399,0.009804948,36.75761,80.68985,53.31214,75.91844,100,1.972132,1.39997,1.974886,7,1,0
-84.0676,1.369281,162.5444,-6.590907,0.5063083,-29.23373,0.1348917,192.4153,5.772159E-05,37.24746,80.59688,53.31227,76.10506,100,1.968521,1.400433,1.969021,7,1,0
-84.19933,1.375653,161.9577,-6.594726,0.318504,-29.33691,0.1296369,192.302,0.006458126,37.65112,80.52484,53.31706,76.2778,100,1.966299,1.395031,1.963713,7,1,0
-84.32763,1.372737,161.3695,-6.471218,-0.1387467,-29.41723,0.1248338,192.312,0.02385752,36.96964,80.67351,53.31995,76.29239,100,1.973401,1.392189,1.959374,7,1,0
-84.45541,1.365307,160.7797,-6.433973,-0.3686754,-29.50912,0.1144659,192.2236,0.01889396,37.08075,80.6403,53.3216,76.42881,100,1.97253,1.390194,1.959576,7,1,0
-84.58421,1.362089,160.1875,-6.448023,-0.160809,-29.60881,0.1140734,192.1688,0.0164241,36.9101,80.67033,53.32396,76.52427,100,1.967077,1.387681,1.957899,7,1,0
-84.71344,1.365297,159.5932,-6.461187,0.1597774,-29.70714,0.1244776,192.1231,0.01574664,36.65948,80.71731,53.32636,76.60858,100,1.962008,1.385212,1.955972,7,1,0
