Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-79.23239,1.387633,-25.74874,-11.82909,-3.037453E-06,-53.76901,0.1843802,202.5264,359.7972,100,4.182674,9.919954,39.97856,96.38249,46.4359,19.2166,19.20924,0,1,-0.4643598
-79.4762,1.387629,-26.82833,-12.17233,4.497766E-06,-53.98291,0.184146,202.1044,359.7743,100,4.652936,9.98518,40.36652,98.85007,44.99847,18.89549,19.00383,0,1,-0.5194183
-79.72655,1.387627,-27.91221,-12.498,0.000136627,-54.19725,0.1837447,201.5981,359.7494,100,5.163099,10.0532,40.79218,100,43.44771,18.55943,18.803,0,1,-0.4454113
-79.98257,1.387633,-29.00061,-12.80428,0.0002844691,-54.41283,0.1836019,201.0479,359.7491,100,5.657697,40.38742,41.24447,100,41.87571,18.21565,18.6022,0,1,-0.3959711
-80.24377,1.387641,-30.09356,-13.08956,0.0001334143,-54.63029,0.1840078,200.4781,359.7768,100,6.048691,40.51418,41.71655,100,40.33133,17.86823,18.39852,0,1,-0.3440524
-80.50992,1.387642,-31.19102,-13.35362,-0.0003438747,-54.84966,0.1848845,199.9093,359.8231,100,6.386839,40.64941,42.20218,100,38.84631,17.51997,18.18922,0,1,-0.2822658
-80.78082,1.387637,-32.29292,-13.59697,-0.0007031703,-55.07066,0.1858531,199.3607,359.8753,100,6.857781,40.79778,42.69458,100,37.44327,17.17301,17.97143,0,1,-0.2127183
-81.05537,1.389171,-33.39899,-13.82074,0.07583643,-55.29307,0.1612904,198.8507,359.9627,100,7.558285,40.96215,43.18515,100,36.13989,16.82997,17.74333,0,1,-0.1601767
-81.32896,1.399271,-34.50804,-14.02609,0.502325,-55.51687,359.9846,198.3906,0.2721781,100,8.026427,41.14022,43.66379,100,34.94926,16.49637,17.50827,0,1,-0.09226806
-81.60098,1.410688,-35.6143,-14.09865,0.5709425,-55.4043,359.7395,198.0873,0.7219865,100,8.523108,6.19365,44.08856,100,33.9875,16.18284,17.25117,0,1,-0.0445793
